ItemNumber,Type,PrimaryRegion,Side,Name,OtherRegions,l_tmj_tension,r_tmj_tension,l_jaw_position,r_jaw_position,l_head_weight,r_head_weight,head_tilt_sagittal,l_ear_shoulder,r_ear_shoulder,l_neck_tilt,r_neck_tilt,l_neck_rotation,r_neck_rotation,neck_forward,l_shoulder_height,r_shoulder_height,l_shoulder_forward,r_shoulder_forward,l_scapula_position,r_scapula_position,l_scapula_winging,r_scapula_winging,l_pec_tension,r_pec_tension,l_ribcage_position,r_ribcage_position,l_breathing_pattern,r_breathing_pattern,l_thoracic_rotation,r_thoracic_rotation,l_thoracic_tension,r_thoracic_tension,l_thoracic_flexibility,r_thoracic_flexibility,thoracic_curve,l_lumbar_tension,r_lumbar_tension,l_lumbar_rotation,r_lumbar_rotation,l_lumbar_sidebend,r_lumbar_sidebend,lumbar_curve,l_upper_abs,r_upper_abs,l_lower_abs,r_lower_abs,l_obliques,r_obliques,l_si_joint,r_si_joint,l_psis_height,r_psis_height,l_asis_height,r_asis_height,l_hip_rotation,r_hip_rotation,l_hip_height,r_hip_height,l_hip_shift,r_hip_shift,l_glute_tone,r_glute_tone,l_hip_flexor,r_hip_flexor,l_knee_alignment,r_knee_alignment,l_knee_rotation,r_knee_rotation,l_patella_tracking,r_patella_tracking,l_knee_hyperext,r_knee_hyperext,l_q_angle,r_q_angle,l_ankle_position,r_ankle_position,l_arch_height,r_arch_height,l_foot_rotation,r_foot_rotation,l_toe_position,r_toe_position,l_heel_callus,l_heel_callus_pos,r_heel_callus,r_heel_callus_pos,l_forefoot_callus,l_forefoot_callus_pos,r_forefoot_callus,r_forefoot_callus_pos,l_heel_pressure,r_heel_pressure,l_forefoot_pressure,r_forefoot_pressure,l_lateral_pressure,r_lateral_pressure,l_medial_pressure,r_medial_pressure,l_single_leg,r_single_leg,l_weight_shift,r_weight_shift,l_arm_raising,r_arm_raising,squat_symmetry,gait_symmetry,,l_upper_pain,r_upper_pain,l_lower_pain,r_lower_pain
195,MUSCLE,Thigh (Knee) Region,Left,Sartorius,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,-0.04,-0.04,,,,,,,,,,,,,,,,,,,,,,,-0.3,,-0.2,,-0.1,,-0.1,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
196,MUSCLE,Thigh (Knee) Region,Right,Sartorius,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,-0.04,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,-0.2,,-0.1,,-0.1,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
197,MUSCLE,Thigh (Knee) Region,Left,Popliteus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,-0.04,-0.04,,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.2,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
198,MUSCLE,Thigh (Knee) Region,Right,Popliteus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.2,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
199,FASCIA,Thigh (Knee) Region,Left,Fascia Lata,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
200,FASCIA,Thigh (Knee) Region,Right,Fascia Lata,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
201,FASCIA,Thigh (Knee) Region,Left,Patellar Retinaculum,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,,-0.3,,-0.3,,-0.2,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
202,FASCIA,Thigh (Knee) Region,Right,Patellar Retinaculum,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,,-0.3,,-0.3,,-0.2,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
203,MUSCLE,Lower Leg,Left,Gastrocnemius,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.2,,,0.1,,,0.2,0.3,,0.3,,0.2,,,,,,,,0.1,,,,0.7,,-0.7,,,,,,0.4,,0.2,,,,0.3,0.3,,,,, 
204,MUSCLE,Lower Leg,Right,Gastrocnemius,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.2,,0.1,,0.2,,,,0.3,,0.3,,0.2,,,,,,,0.1,,,,,0.7,,-0.7,,,,,,0.4,,0.2,,,-0.3,-0.3,,,,, 
205,MUSCLE,Lower Leg,Left,Soleus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.3,,0.2,,,,,,,,0.1,,,,0.65,,-0.65,,,,,,0.4,,0.2,,,,0.3,0.3,,,,, 
206,MUSCLE,Lower Leg,Right,Soleus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.3,,0.2,,,,,,,0.1,,,,,0.65,,-0.65,,,,,,0.4,,0.2,,,-0.3,-0.3,,,,, 
207,MUSCLE,Lower Leg,Left,Tibialis Anterior,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,-0.6,,0.4,,,,,,,,0.3,,,,-0.6,,0.6,,,,,,0.3,,0.1,,,,0.2,0.2,,,,, 
208,MUSCLE,Lower Leg,Right,Tibialis Anterior,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,-0.6,,0.4,,,,,,,,,0.3,,,-0.6,,0.6,,,,  ,,0.3,,0.1,,,-0.2,-0.2,,,,, 
209,MUSCLE,Lower Leg,Left,Tibialis Posterior,[Foot/Ankle],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,-0.8,,0.3,,,,,,,,0.2,,,,0.4,,-0.4,,,,,,0.4,,0.2,,,,0.3,0.3,,,,, 
210,MUSCLE,Lower Leg,Right,Tibialis Posterior,[Foot/Ankle],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,-0.8,,0.3,,,,,,,,,0.2,,,0.4,,-0.4,,,,,,0.4,,0.2,,,-0.3,-0.3,,,,, 
211,MUSCLE,Lower Leg,Left,Peroneus (Fibularis) Longus,[Foot/Ankle],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,0.8,,0.3,,,,,,,,0.2,,,,0.35,,-0.35,0.45,,,-0.45, ,0.4,,0.2,,,,0.3,0.3,,,,, 
212,MUSCLE,Lower Leg,Right,Peroneus (Fibularis) Longus,[Foot/Ankle],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,0.8,,0.3,,,,,,,,,0.2,,,0.35,,-0.35,,0.45,,-0.45,,0.4,,0.2,,,-0.3,-0.3,,,,, 
213,MUSCLE,Lower Leg,Left,Peroneus (Fibularis) Brevis,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,,0.7,,0.2,,,,,,,,0.2,,,,0.3,,-0.3,0.4,,,-0.4, ,0.4,,0.2,,,,0.3,0.3,,,,, 
214,MUSCLE,Lower Leg,Right,Peroneus (Fibularis) Brevis,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,,0.7,,0.2,,,,,,,,,0.2,,,0.3,,-0.3,,0.4,,-0.4,,0.4,,0.2,,,-0.3,-0.3,,,,, 
215,MUSCLE,Lower Leg,Left,Flexor Digitorum Longus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,0.4,,0.3,,,,,,,,0.2,,,,0.25,,-0.25,,,,,,,,,,,,,,,,,, 
216,MUSCLE,Lower Leg,Right,Flexor Digitorum Longus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,0.4,,0.3,,,,,,,,,0.2,,,0.25,,-0.25,,,,,,,,,,,,,,,,, 
217,MUSCLE,Lower Leg,Left,Flexor Hallucis Longus,[Foot/Ankle],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.4,,0.3,,,,,-0.2,,,,0.2,,,0.25,,-0.25,,,,,,,,,,,,,,,,,, 
218,MUSCLE,Lower Leg,Right,Flexor Hallucis Longus,[Foot/Ankle],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.4,,0.3,,,,,,-0.2,,,0.2,,,0.25,,-0.25,,,,,,,,,,,,,,,,, 
219,MUSCLE,Lower Leg,Left,Extensor Digitorum Longus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,0.3,,0.2,,,,,,,,0.2,,,,-0.25,,0.25,,,,,,,,,,,,,,,,,, 
220,MUSCLE,Lower Leg,Right,Extensor Digitorum Longus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,0.3,,0.2,,,,,,,,,0.2,,,-0.25,,0.25,,,,,,,,,,,,,,,,, 
221,MUSCLE,Lower Leg,Left,Extensor Hallucis Longus,[Foot/Ankle],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,0.3,,0.2,,,,,,,,0.1,,,,-0.2,,0.2,,,,,,,,,,,,,,,,,, 
222,MUSCLE,Lower Leg,Right,Extensor Hallucis Longus,[Foot/Ankle],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,0.3,,0.2,,,,,,,,,0.1,,,-0.2,,0.2,,,, ,,,,,,,,,,,,, 
223,FASCIA,Lower Leg,Left,Crural Fascia,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,,0.1,,,,,,,,0.1,,,,,,,,,,,            ,,,,,,,,,,,,, 
224,FASCIA,Lower Leg,Right,Crural Fascia,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,,0.1,,,,,,,,,0.1,,,,,,,,,            ,,,,,,,,,,,,, 
225,FASCIA,Lower Leg,Left,Achilles Tendon,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.2,,0.1,,,,0.1,,,,0.1,,,,0.25,,-0.25,,,,,,,,,,,,,,,,,, 
226,FASCIA,Lower Leg,Right,Achilles Tendon,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.2,,0.1,,,,,0.1,,,0.1,,,,0.25,,-0.25,,,,,,,,,,,,,,,,, 
227,MUSCLE,Foot/Ankle,Left,Interossei (Foot),[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,,0.1,,,,0.1,,,,0.1,,,,0.4,,-0.4,0.35,,,-0.35, ,0.3,,0.1,,,,0.2,0.2,,,,, 
228,MUSCLE,Foot/Ankle,Right,Interossei (Foot),[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,,0.1,,,,,0.1,,,0.1,,,,0.4,,-0.4,,0.35,,-0.35,,0.3,,0.1,,,-0.2,-0.2,,,,, 
229,MUSCLE,Foot/Ankle,Left,Lumbricals (Foot),[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,,0.1,,,,0.1,,,,0.1,,,,0.35,,-0.35,0.3,,,-0.3,,0.3,,0.1,,,,0.2,0.2,,,,, 
230,MUSCLE,Foot/Ankle,Right,Lumbricals (Foot),[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,,0.1,,,,,0.1,,,0.1,,,,0.35,,-0.35,,0.3,,-0.3,,0.3,,0.1,,,-0.2,-0.2,,,,, 
231,MUSCLE,Foot/Ankle,Left,Flexor Digiti Minimi Brevis,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,,0.1,,,,0.1,,,,0.1,,,,0.25,,-0.25,0.2,,,-0.2, ,0.3,,0.1,,,,0.2,0.2,,,,, 
232,MUSCLE,Foot/Ankle,Right,Flexor Digiti Minimi Brevis,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,,0.1,,,,,0.1,,,0.1,,,,0.25,,-0.25,,0.2,,-0.2,,0.3,,0.1,,,-0.2,-0.2,,,,, 
233,MUSCLE,Foot/Ankle,Left,Flexor Hallucis Brevis,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.15,,0.15,,,,,-0.1,,,,0.15,,,0.25,,-0.25,,,,,,0.3,,0.1,,,,0.2,0.2,,,,, 
234,MUSCLE,Foot/Ankle,Right,Flexor Hallucis Brevis,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.15,,0.15,,,,,,-0.1,,,0.15,,,0.25,,-0.25,,,,,,0.3,,0.1,,,-0.2,-0.2,,,,, 
235,MUSCLE,Foot/Ankle,Left,Extensor Hallucis Brevis,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,0.1,,0.1,,,,,,,,0.1,,,,-0.25,,0.25,,,,,,0.3,,0.1,,,,0.2,0.2,,,,, 
236,MUSCLE,Foot/Ankle,Right,Extensor Hallucis Brevis,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,0.1,,0.1,,,,,,,,,0.1,,,-0.25,,0.25,,,, ,,0.3,,0.1,,,-0.2,-0.2,,,,, 
237,MUSCLE,Foot/Ankle,Left,Flexor Digitorum Brevis,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.2,,0.15,,,,0.1,,,,0.1,,,,0.2,,-0.2,,,,,,0.3,,0.1,,,,0.2,0.2,,,,, 
238,MUSCLE,Foot/Ankle,Right,Flexor Digitorum Brevis,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.2,,0.15,,,,,0.1,,,0.1,,,,0.2,,-0.2,,,,,,0.3,,0.1,,,-0.2,-0.2,,,,, 
239,MUSCLE,Foot/Ankle,Left,Extensor Digitorum Brevis,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,0.2,,0.1,,,,,,,,0.1,,,,-0.2,,0.2,,,,,,0.3,,0.1,,,,0.2,0.2,,,,, 
240,MUSCLE,Foot/Ankle,Right,Extensor Digitorum Brevis,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,0.2,,0.1,,,,,,,,,0.1,,,-0.2,,0.2,,,,,,0.3,,0.1,,,-0.2,-0.2,,,,, 
241,FASCIA,Foot/Ankle,Left,Plantar Fascia (Plantar Aponeurosis),[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.3,,0.3,,,,0.2,,,,0.2,,,,0.3,,-0.3,,,,,,,,,,,,,,,,,, 
242,FASCIA,Foot/Ankle,Left,Flexor Retinaculum,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,,0.1,,,,,,,0.1,,,0.1,,0.15,,-0.15,,,,,,,,,,,,,,,,,, 
243,FASCIA,Foot/Ankle,Right,Flexor Retinaculum,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,,0.1,,,,,,,,0.1,,0.1,,0.15,,-0.15,,,,,,,,,,,,,,,,, 
244,FASCIA,Foot/Ankle,Left,Extensor Retinaculum,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,0.1,,0.1,,,,,,,,0.1,,,,-0.15,,0.15,,,,,,,,,,,,,,,,,, 
245,FASCIA,Foot/Ankle,Right,Extensor Retinaculum,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,0.1,,0.1,,,,,,,,,0.1,,,-0.15,,0.15,,,, ,,,,,,,,,,,,, 
246,FASCIA,Foot/Ankle,Left,Peroneal Retinaculum,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,0.1,,0.1,,,,,,,,0.1,,,,0.1,,-0.1,0.2,,,-0.2, ,,,,,,,,,,,,, 
247,FASCIA,Foot/Ankle,Right,Peroneal Retinaculum,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,0.1,,0.1,,,,,,,,,0.1,,,0.1,,-0.1,,0.2,,-0.2,,,,,,,,,,,,, 
